period,561311,561320,561312,561330,year,quarter,561311_seasonal,561311_sa,561320_seasonal,561320_sa,561312_seasonal,561312_sa,561330_seasonal,561330_sa
2005 Q1,38025,312599,1859,46610,2005,1,0.9797355882535059,38811.49205550861,1.0077751484243231,310187.24810663855,0.9893593672669919,1878.9936816743393,0.9716592865710382,47969.48955686468
2005 Q2,38976,326140,1914,45059,2005,2,0.9714504081905114,40121.45105029016,0.9739737239573932,334855.02943020576,0.9908513186729263,1931.67225387909,0.9815977415102267,45903.732348319136
2005 Q3,37732,339076,2308,46857,2005,3,1.0030357259860032,37617.80265893194,0.9916502498592308,341931.038738843,0.9968855981484944,2315.2104958549157,1.0016095532556712,46781.70235866277
2005 Q4,39793,357370,2326,47779,2005,4,1.045778277569979,38051.086787215485,1.0266008777590525,348109.96926098113,1.0229037159115872,2273.9188095793793,1.0451334186630639,45715.69442408507
2006 Q1,38498,347489,2259,39435,2006,1,0.9797355882535059,39294.27537548903,1.0077751484243231,344808.06610810565,0.9893593672669919,2283.2957110824814,0.9716592865710382,40585.213917076995
2006 Q2,40741,348222,2366,39643,2006,2,0.9714504081905114,41938.32197351887,0.9739737239573932,357527.09897051915,0.9908513186729263,2387.8456388076943,0.9815977415102267,40386.19724104875
2006 Q3,42801,356783,2561,40728,2006,3,1.0030357259860032,42671.461136567,0.9916502498592308,359787.132661588,0.9968855981484944,2569.000901163102,1.0016095532556712,40662.55145791701
2006 Q4,44868,362346,2667,42109,2006,4,1.045778277569979,42903.93189678548,1.0266008777590525,352957.0331080938,1.0229037159115872,2607.2835189803113,1.0451334186630639,40290.54974996962
2007 Q1,43252,319490,1348,65163,2007,1,0.9797355882535059,44146.6049805354,1.0077751484243231,317025.0829260169,0.9893593672669919,1362.497839105438,0.9716592865710382,67063.63115198398
2007 Q2,42478,314364,1354,66511,2007,2,0.9714504081905114,43726.370015245935,0.9739737239573932,322764.35417856503,0.9908513186729263,1366.5016884808192,0.9815977415102267,67757.89836035097
2007 Q3,44453,312500,1651,66907,2007,3,1.0030357259860032,44318.46129538592,0.9916502498592308,315131.26734386524,0.9968855981484944,1656.157941358954,1.0016095532556712,66799.482675183
2007 Q4,45719,315839,1657,70939,2007,4,1.045778277569979,43717.67991417347,1.0266008777590525,307655.10418171366,1.0229037159115872,1619.8983093177262,1.0451334186630639,67875.54462735032
2008 Q1,46784,292210,2108,64605,2008,1,0.9797355882535059,47751.659285336355,1.0077751484243231,289955.5525425252,0.9893593672669919,2130.6716949809074,0.9716592865710382,66489.35577818585
2008 Q2,44518,280692,2079,60759,2008,2,0.9714504081905114,45826.3228103658,0.9739737239573932,288192.5796309049,0.9908513186729263,2098.1957240410807,0.9815977415102267,61898.06417700176
2008 Q3,45793,278256,2236,61485,2008,3,1.0030357259860032,45654.40573413735,0.9916502498592308,280598.9309633106,0.9968855981484944,2242.9855583759063,1.0016095532556712,61386.195648939974
2008 Q4,44519,271868,2646,61313,2008,4,1.045778277569979,42570.20914934904,1.0266008777590525,264823.4634217881,1.0229037159115872,2586.7537274922774,1.0451334186630639,58665.23728466331
2009 Q1,37468,244896,2664,56503,2009,1,0.9797355882535059,38242.971317180716,1.0077751484243231,243006.58771244742,0.9893593672669919,2692.6515158582247,0.9716592865710382,58151.04201741096
2009 Q2,35506,221094,2403,55322,2009,2,0.9714504081905114,36549.47252133627,0.9739737239573932,227002.017160857,0.9908513186729263,2425.18726545008,0.9815977415102267,56359.13537747645
2009 Q3,35548,221613,2654,55588,2009,3,1.0030357259860032,35440.412618459464,0.9916502498592308,223478.9937596032,0.9968855981484944,2662.2914454068223,1.0016095532556712,55498.67193190657
2009 Q4,38052,227531,2707,55030,2009,4,1.045778277569979,36386.2979525827,1.0266008777590525,221635.3063097638,1.0229037159115872,2646.387883719424,1.0451334186630639,52653.56462373431
2010 Q1,38252,235950,3133,34262,2010,1,0.9797355882535059,39043.18722175714,1.0077751484243231,234129.60755076428,0.9893593672669919,3166.6956453392713,0.9716592865710382,35261.33128507397
2010 Q2,40342,232819,3364,34953,2010,2,0.9714504081905114,41527.59591212042,0.9739737239573932,239040.32960357843,0.9908513186729263,3395.0603249996125,0.9815977415102267,35608.27263744865
2010 Q3,43173,248962,3627,34777,2010,3,1.0030357259860032,43042.33526433978,0.9916502498592308,251058.2738574828,0.9968855981484944,3638.3312255051037,1.0016095532556712,34721.114517088485
2010 Q4,45672,263112,3559,36826,2010,4,1.045778277569979,43672.737309217846,1.0266008777590525,256294.3454464428,1.0229037159115872,3479.3108526625156,1.0451334186630639,35235.692728214424
2011 Q1,44457,260973,3545,35288,2011,1,0.9797355882535059,45376.52866040095,1.0077751484243231,258959.55105465397,0.9893593672669919,3583.126735629657,0.9716592865710382,36317.25697238019
2011 Q2,46125,258875,3571,38125,2011,2,0.9714504081905114,47480.55033083522,0.9739737239573932,265792.59135262313,0.9908513186729263,3603.9715875664733,0.9815977415102267,38839.73891519268
2011 Q3,48635,266755,3945,39811,2011,3,1.0030357259860032,48487.804312444474,0.9916502498592308,269001.09190500085,0.9968855981484944,3957.324699370729,1.0016095532556712,39747.025046433264
2011 Q4,51931,279492,4184,41142,2011,4,1.045778277569979,49657.75357341461,1.0266008777590525,272249.91333545104,1.0229037159115872,4090.3165517111447,1.0451334186630639,39365.30902688855
2012 Q1,48447,281975,3784,38763,2012,1,0.9797355882535059,49449.056031906,1.0077751484243231,279799.51722452533,0.9893593672669919,3824.6971982010223,0.9716592865710382,39893.61346691151
2012 Q2,50756,285544,3688,39522,2012,2,0.9714504081905114,52247.64905348233,0.9739737239573932,293174.233530443,0.9908513186729263,3722.051866408612,0.9815977415102267,40262.928823770366
2012 Q3,52345,295456,2776,40794,2012,3,1.0030357259860032,52186.575855554765,0.9916502498592308,297943.75591791695,0.9968855981484944,2784.6725894684773,1.0016095532556712,40728.44539811104
2012 Q4,56360,310929,2790,43451,2012,4,1.045778277569979,53892.87692125411,1.0266008777590525,302872.33016858605,1.0229037159115872,2727.5294405530817,1.0451334186630639,41574.59633774086
2013 Q1,51829,308025,2996,41149,2013,1,0.9797355882535059,52901.00780394361,1.0077751484243231,305648.5372571484,0.9893593672669919,3028.222200266983,0.9716592865710382,42349.20673193359
2013 Q2,54528,299468,3394,39826,2013,2,0.9714504081905114,56130.50294720397,0.9739737239573932,307470.30708715535,0.9908513186729263,3425.3373195745203,0.9815977415102267,40572.627987841675
