year,quarter,Emp,period
2015,1,2987903,2015 Q1
2015,2,2875928,2015 Q2
2015,3,2981460,2015 Q3
2015,4,3057467,2015 Q4
2016,1,3036972,2016 Q1
2016,2,2926298,2016 Q2
2016,3,2996542,2016 Q3
2016,4,3087923,2016 Q4
2017,1,3027145,2017 Q1
2017,2,2953257,2017 Q2
2017,3,3038073,2017 Q3
2017,4,3103637,2017 Q4
2018,1,3080852,2018 Q1
2018,2,3012443,2018 Q2
2018,3,3084052,2018 Q3
2018,4,3144762,2018 Q4
2019,1,3087657,2019 Q1
2019,2,2981059,2019 Q2
2019,3,3035899,2019 Q3
2019,4,3074287,2019 Q4
2020,1,3005602,2020 Q1
2020,2,2424846,2020 Q2
2020,3,2319588,2020 Q3
2020,4,2648899,2020 Q4
2021,1,2845476,2021 Q1
2021,2,2828204,2021 Q2
2021,3,2882956,2021 Q3
2021,4,3068568,2021 Q4
2022,1,3047931,2022 Q1
2022,2,3051315,2022 Q2
2022,3,3044566,2022 Q3
2022,4,3048591,2022 Q4
2023,1,2922577,2023 Q1
2023,2,2790023,2023 Q2
2023,3,2717591,2023 Q3
2023,4,2715212,2023 Q4
