soc,group,employment,share,annual_mean_wage,annual_median_wage
53-0000,Transportation and Material Moving,628000.0,24.216716475465148,36690.0,35860.0
51-0000,Production,442820.0,17.075870047238023,38950.0,37000.0
43-0000,Office and Administrative Support,274330.0,10.578617564831774,45760.0,42360.0
13-0000,Business and Financial Operations,190700.0,7.353706738648415,83200.0,68080.0
29-0000,Healthcare Practitioners and Technical,164990.0,6.362286705871012,90510.0,80890.0
15-0000,Computer and Mathematical,113560.0,4.379061023811819,110280.0,103430.0
25-0000,Educational Instruction and Library,104880.0,4.044345898004434,42860.0,38880.0
47-0000,Construction and Extraction,102030.0,3.934445194254314,48040.0,44930.0
37-0000,Building and Grounds Cleaning and Maintenance,94860.0,3.6579581606092737,36340.0,35490.0
31-0000,Healthcare Support,86180.0,3.323243034801889,46660.0,46300.0
41-0000,Sales and Related,62740.0,2.4193579485201964,58360.0,50940.0
35-0000,Food Preparation and Serving Related,60960.0,2.3507182107394198,38710.0,36210.0
11-0000,Management,57190.0,2.2053407885857514,141180.0,124290.0
49-0000,"Installation, Maintenance, and Repair",56750.0,2.1883736623927503,50610.0,46830.0
17-0000,Architecture and Engineering,30710.0,1.1842282849705967,106770.0,93480.0
27-0000,"Arts, Design, Entertainment, Sports, and Media",24000.0,0.9254796105273305,93940.0,84030.0
39-0000,Personal Care and Service,23260.0,0.8969439892027378,37790.0,34380.0
19-0000,"Life, Physical, and Social Science",16640.0,0.6416658632989491,81660.0,63080.0
21-0000,Community and Social Service,11510.0,0.4438445965487323,63270.0,60450.0
23-0000,Legal,7130.0,0.2749445676274945,108420.0,78840.0
33-0000,Protective Service,,,38910.0,35950.0
45-0000,"Farming, Fishing, and Forestry",,,39000.0,38990.0
