level,soc,occupation,employment,annual_mean_wage,annual_median_wage
major,00-0000,All Occupations,2593250,54310,39620
major,11-0000,Management Occupations,57190,141180,124290
detail,11-1011,Chief Executives,940,235520,199840
detail,11-1021,General and Operations Managers,20350,134420,104900
detail,11-2021,Marketing Managers,2680,155300,137370
detail,11-2022,Sales Managers,3900,144200,131510
detail,11-2032,Public Relations Managers,190,174160,158550
detail,11-3012,Administrative Services Managers,1380,145410,130760
detail,11-3013,Facilities Managers,280,122440,107750
detail,11-3021,Computer and Information Systems Managers,3250,180020,170580
detail,11-3031,Financial Managers,3150,172620,155250
detail,11-3051,Industrial Production Managers,900,132870,129280
detail,11-3061,Purchasing Managers,370,142970,124960
detail,11-3071,"Transportation, Storage, and Distribution Managers",570,,
detail,11-3111,Compensation and Benefits Managers,220,141260,139990
detail,11-3121,Human Resources Managers,6380,118560,100460
detail,11-3131,Training and Development Managers,400,151280,130000
detail,11-9021,Construction Managers,820,141390,129650
detail,11-9032,"Education Administrators, Kindergarten through Secondary",70,115270,100600
detail,11-9039,"Education Administrators, All Other",120,120400,111690
detail,11-9041,Architectural and Engineering Managers,500,216350,201900
detail,11-9051,Food Service Managers,160,81240,64290
detail,11-9081,Lodging Managers,40,77420,62700
detail,11-9111,Medical and Health Services Managers,2080,134190,109990
detail,11-9121,Natural Sciences Managers,480,145010,117580
detail,11-9151,Social and Community Service Managers,260,97850,88010
detail,11-9161,Emergency Management Directors,30,100120,59820
detail,11-9199,"Managers, All Other",6560,137730,125650
major,13-0000,Business and Financial Operations Occupations,190700,83200,68080
detail,13-1031,"Claims Adjusters, Examiners, and Investigators",940,61550,48360
detail,13-1041,Compliance Officers,6570,69980,61650
detail,13-1051,Cost Estimators,660,100500,97020
detail,13-1071,Human Resources Specialists,74830,65140,59330
detail,13-1075,Labor Relations Specialists,190,83270,75760
detail,13-1081,Logisticians,3030,70710,59170
detail,13-1082,Project Management Specialists,23320,122630,123070
detail,13-1111,Management Analysts,17250,113900,102640
detail,13-1121,"Meeting, Convention, and Event Planners",1690,65040,60370
detail,13-1131,Fundraisers,300,74390,60660
detail,13-1141,"Compensation, Benefits, and Job Analysis Specialists",1770,67280,58700
detail,13-1151,Training and Development Specialists,6560,80830,73220
detail,13-1161,Market Research Analysts and Marketing Specialists,10050,81680,64990
detail,13-1199,"Business Operations Specialists, All Other",20290,84550,73950
detail,13-2011,Accountants and Auditors,12880,90180,79360
detail,13-2031,Budget Analysts,480,88350,83070
detail,13-2041,Credit Analysts,250,64300,60520
detail,13-2051,Financial and Investment Analysts,2710,102680,89740
detail,13-2052,Personal Financial Advisors,100,111920,97140
detail,13-2053,Insurance Underwriters,180,74900,59550
detail,13-2054,Financial Risk Specialists,460,108880,99010
detail,13-2072,Loan Officers,140,66390,60120
detail,13-2082,Tax Preparers,70,73340,64080
detail,13-2099,"Financial Specialists, All Other",1130,84200,76270
major,15-0000,Computer and Mathematical Occupations,113560,110280,103430
detail,15-1211,Computer Systems Analysts,11850,122240,118700
detail,15-1212,Information Security Analysts,3500,118920,107740
detail,15-1221,Computer and Information Research Scientists,300,150680,134530
detail,15-1231,Computer Network Support Specialists,2500,80740,69490
detail,15-1232,Computer User Support Specialists,22420,56640,49220
detail,15-1241,Computer Network Architects,5920,134620,129880
detail,15-1242,Database Administrators,1750,113710,114850
detail,15-1243,Database Architects,2150,146550,154420
detail,15-1244,Network and Computer Systems Administrators,5840,106120,99070
detail,15-1251,Computer Programmers,1440,130070,134820
detail,15-1252,Software Developers,26150,147210,138390
detail,15-1253,Software Quality Assurance Analysts and Testers,6460,102480,101100
detail,15-1254,Web Developers,1440,122020,123280
detail,15-1255,Web and Digital Interface Designers,2700,124570,121140
detail,15-1299,"Computer Occupations, All Other",11720,105590,95840
detail,15-2031,Operations Research Analysts,1530,79880,66020
detail,15-2041,Statisticians,340,113040,105240
detail,15-2051,Data Scientists,5430,108820,98210
detail,15-2099,"Mathematical Science Occupations, All Other",100,82100,62970
major,17-0000,Architecture and Engineering Occupations,30710,106770,93480
detail,17-1011,"Architects, Except Landscape and Naval",340,146750,152170
detail,17-1021,Cartographers and Photogrammetrists,100,58900,56550
detail,17-1022,Surveyors,140,88780,85940
detail,17-2011,Aerospace Engineers,840,167250,166970
detail,17-2031,Bioengineers and Biomedical Engineers,130,101600,83200
detail,17-2041,Chemical Engineers,280,158720,156000
detail,17-2051,Civil Engineers,2070,126900,116430
detail,17-2061,Computer Hardware Engineers,770,143720,136970
detail,17-2071,Electrical Engineers,2520,139880,130150
detail,17-2072,"Electronics Engineers, Except Computer",470,142380,138150
detail,17-2081,Environmental Engineers,,105260,95420
detail,17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",,115720,107000
detail,17-2112,Industrial Engineers,5750,112240,99800
detail,17-2131,Materials Engineers,290,126120,97530
detail,17-2141,Mechanical Engineers,5250,103420,86330
detail,17-2161,Nuclear Engineers,70,176870,166750
detail,17-2199,"Engineers, All Other",3490,111520,98030
detail,17-3011,Architectural and Civil Drafters,450,76930,68470
detail,17-3012,Electrical and Electronics Drafters,200,86690,74000
detail,17-3013,Mechanical Drafters,570,78890,74880
detail,17-3019,"Drafters, All Other",410,51960,48650
detail,17-3021,Aerospace Engineering and Operations Technologists and Technicians,50,63490,56300
detail,17-3022,Civil Engineering Technologists and Technicians,230,66400,61820
detail,17-3023,Electrical and Electronic Engineering Technologists and Technicians,1280,74540,66560
detail,17-3024,Electro-Mechanical and Mechatronics Technologists and Technicians,430,68170,70130
detail,17-3025,Environmental Engineering Technologists and Technicians,130,56840,60420
detail,17-3026,Industrial Engineering Technologists and Technicians,1410,58880,52670
detail,17-3027,Mechanical Engineering Technologists and Technicians,1050,72350,67930
detail,17-3028,Calibration Technologists and Technicians,120,54670,47840
detail,17-3029,"Engineering Technologists and Technicians, Except Drafters, All Other",1220,75260,72330
detail,17-3031,Surveying and Mapping Technicians,,49060,48470
major,19-0000,"Life, Physical, and Social Science Occupations",16640,81660,63080
detail,19-1012,Food Scientists and Technologists,50,87700,90040
detail,19-1021,Biochemists and Biophysicists,220,125840,114240
detail,19-1022,Microbiologists,220,63460,54070
detail,19-1023,Zoologists and Wildlife Biologists,50,59140,56270
detail,19-1029,"Biological Scientists, All Other",730,99780,87970
detail,19-1031,Conservation Scientists,40,62660,50570
detail,19-1041,Epidemiologists,170,107020,93990
detail,19-1042,"Medical Scientists, Except Epidemiologists",1130,124080,103420
detail,19-1099,"Life Scientists, All Other",640,102940,96360
detail,19-2012,Physicists,,229310,235090
detail,19-2031,Chemists,1110,69250,59250
detail,19-2041,"Environmental Scientists and Specialists, Including Health",320,90590,77450
detail,19-2042,"Geoscientists, Except Hydrologists and Geographers",100,100180,92600
detail,19-2099,"Physical Scientists, All Other",100,123910,121710
detail,19-3022,Survey Researchers,,78940,77860
detail,19-3033,Clinical and Counseling Psychologists,,156230,131130
detail,19-3034,School Psychologists,990,105920,104450
detail,19-3051,Urban and Regional Planners,,66750,64540
detail,19-3099,"Social Scientists and Related Workers, All Other",40,75290,74350
detail,19-4012,Agricultural Technicians,240,43010,42990
detail,19-4013,Food Science Technicians,,54390,60020
detail,19-4021,Biological Technicians,470,63790,62190
detail,19-4031,Chemical Technicians,1260,54200,49620
detail,19-4042,"Environmental Science and Protection Technicians, Including Health",520,52790,49450
detail,19-4043,"Geological Technicians, Except Hydrologic Technicians",,63080,54990
detail,19-4061,Social Science Research Assistants,190,70910,63080
detail,19-4099,"Life, Physical, and Social Science Technicians, All Other",5050,57440,48680
detail,19-5011,Occupational Health and Safety Specialists,1160,90100,85230
detail,19-5012,Occupational Health and Safety Technicians,260,58990,49930
major,21-0000,Community and Social Service Occupations,11510,63270,60450
detail,21-1012,"Educational, Guidance, and Career Counselors and Advisors",890,64300,55320
detail,21-1013,Marriage and Family Therapists,110,95530,95120
detail,21-1018,"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",3390,60730,60470
detail,21-1019,"Counselors, All Other",500,73680,59830
detail,21-1021,"Child, Family, and School Social Workers",1270,71090,62860
detail,21-1022,Healthcare Social Workers,1760,67790,63420
detail,21-1023,Mental Health and Substance Abuse Social Workers,580,78930,74940
detail,21-1029,"Social Workers, All Other",80,65150,64610
detail,21-1091,Health Education Specialists,560,64010,60830
detail,21-1092,Probation Officers and Correctional Treatment Specialists,,41570,42370
detail,21-1093,Social and Human Service Assistants,1320,49350,48060
detail,21-1094,Community Health Workers,420,56740,52480
detail,21-1099,"Community and Social Service Specialists, All Other",400,54700,52420
major,23-0000,Legal Occupations,7130,108420,78840
detail,23-1011,Lawyers,4570,132630,96160
detail,23-2011,Paralegals and Legal Assistants,1760,66790,55870
detail,23-2093,"Title Examiners, Abstractors, and Searchers",140,60420,57060
detail,23-2099,"Legal Support Workers, All Other",,61560,56060
major,25-0000,Educational Instruction and Library Occupations,104880,42860,38880
detail,25-1072,"Nursing Instructors and Teachers, Postsecondary",40,88560,82740
detail,25-1194,"Career/Technical Education Teachers, Postsecondary",,88070,90170
detail,25-2011,"Preschool Teachers, Except Special Education",,48050,47710
detail,25-2052,"Special Education Teachers, Kindergarten and Elementary School",160,93740,97220
detail,25-2058,"Special Education Teachers, Secondary School",250,76380,77200
detail,25-2059,"Special Education Teachers, All Other",310,79960,81910
detail,25-3011,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",30,66980,62440
detail,25-3021,Self-Enrichment Teachers,170,59670,56020
detail,25-3031,"Substitute Teachers, Short-Term",76730,41450,38520
detail,25-3041,Tutors,830,52330,38290
detail,25-3099,"Teachers and Instructors, All Other",750,48410,42550
detail,25-4013,Museum Technicians and Conservators,,47080,36650
detail,25-4022,Librarians and Media Collections Specialists,200,64240,73270
detail,25-4031,Library Technicians,,52250,52430
detail,25-9044,"Teaching Assistants, Postsecondary",70,56500,53160
detail,25-9045,"Teaching Assistants, Except Postsecondary",22090,40560,39530
detail,25-9099,"Educational Instruction and Library Workers, All Other",,45330,39000
major,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",24000,93940,84030
detail,27-1011,Art Directors,360,190170,175010
detail,27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators",100,,
detail,27-1014,Special Effects Artists and Animators,190,123210,110570
detail,27-1021,Commercial and Industrial Designers,380,116720,99650
detail,27-1022,Fashion Designers,70,103540,91880
detail,27-1023,Floral Designers,290,33110,32050
detail,27-1024,Graphic Designers,1970,94960,84980
detail,27-1026,Merchandise Displayers and Window Trimmers,2250,38250,37140
detail,27-1027,Set and Exhibit Designers,,115870,115120
detail,27-1029,"Designers, All Other",230,124010,120320
detail,27-2011,Actors,180,,
detail,27-2012,Producers and Directors,2000,152030,132510
detail,27-2022,Coaches and Scouts,,60920,50130
detail,27-3011,Broadcast Announcers and Radio Disc Jockeys,50,,
detail,27-3023,"News Analysts, Reporters, and Journalists",70,,
