Emp,year,quarter,period
38054,2005,1,2005 Q1
38976,2005,2,2005 Q2
37739,2005,3,2005 Q3
39779,2005,4,2005 Q4
38450,2006,1,2006 Q1
40701,2006,2,2006 Q2
42823,2006,3,2006 Q3
44887,2006,4,2006 Q4
43224,2007,1,2007 Q1
42477,2007,2,2007 Q2
44451,2007,3,2007 Q3
45673,2007,4,2007 Q4
46780,2008,1,2008 Q1
44538,2008,2,2008 Q2
45788,2008,3,2008 Q3
44493,2008,4,2008 Q4
37456,2009,1,2009 Q1
35553,2009,2,2009 Q2
35555,2009,3,2009 Q3
38061,2009,4,2009 Q4
38269,2010,1,2010 Q1
40389,2010,2,2010 Q2
43197,2010,3,2010 Q3
45689,2010,4,2010 Q4
44495,2011,1,2011 Q1
46182,2011,2,2011 Q2
48707,2011,3,2011 Q3
51993,2011,4,2011 Q4
48492,2012,1,2012 Q1
50776,2012,2,2012 Q2
52362,2012,3,2012 Q3
56430,2012,4,2012 Q4
51835,2013,1,2013 Q1
54510,2013,2,2013 Q2
58598,2013,3,2013 Q3
60192,2013,4,2013 Q4
51019,2014,1,2014 Q1
54373,2014,2,2014 Q2
54344,2014,3,2014 Q3
56421,2014,4,2014 Q4
48120,2015,1,2015 Q1
47188,2015,2,2015 Q2
49201,2015,3,2015 Q3
51126,2015,4,2015 Q4
46398,2016,1,2016 Q1
45233,2016,2,2016 Q2
49504,2016,3,2016 Q3
55497,2016,4,2016 Q4
48634,2017,1,2017 Q1
45792,2017,2,2017 Q2
49429,2017,3,2017 Q3
50842,2017,4,2017 Q4
46232,2018,1,2018 Q1
43747,2018,2,2018 Q2
44377,2018,3,2018 Q3
44245,2018,4,2018 Q4
41467,2019,1,2019 Q1
40224,2019,2,2019 Q2
40847,2019,3,2019 Q3
41006,2019,4,2019 Q4
38006,2020,1,2020 Q1
33863,2020,2,2020 Q2
32371,2020,3,2020 Q3
34620,2020,4,2020 Q4
36978,2021,1,2021 Q1
35894,2021,2,2021 Q2
37058,2021,3,2021 Q3
39474,2021,4,2021 Q4
39515,2022,1,2022 Q1
40798,2022,2,2022 Q2
42436,2022,3,2022 Q3
43952,2022,4,2022 Q4
42106,2023,1,2023 Q1
41532,2023,2,2023 Q2
40217,2023,3,2023 Q3
40596,2023,4,2023 Q4
37030,2024,1,2024 Q1
35793,2024,2,2024 Q2
37260,2024,3,2024 Q3
38527,2024,4,2024 Q4
