year,quarter,period,temp_employment,sector_employment,share_pct,temp_employment_seasonal,temp_employment_sa,sector_employment_seasonal,sector_employment_sa
2010,1,2010 Q1,1893996,6844412,27.67215065370115,1.009838691246669,1875543.1104167919,0.9913426664795677,6904183.822033719
2010,2,2010 Q2,1973922,7055772,27.975989020053373,0.9737767782949192,2027078.5296978767,0.976762333301104,7223632.36116409
2010,3,2010 Q3,2161002,7515551,28.753740078405425,0.9929783958925292,2176282.997635214,1.0119884377464823,7426518.643568489
2010,4,2010 Q4,2292692,7583046,30.23444668540848,1.023406134565882,2240256.2605045703,1.0199065624728463,7435039.913474318
2011,1,2011 Q1,2266146,7385341,30.68437869016475,1.009838691246669,2244067.3145553484,0.9913426664795677,7449836.721167915
2011,2,2011 Q2,2266059,7451795,30.409572458716323,0.9737767782949192,2327082.6030251654,0.976762333301104,7629076.947322102
2011,3,2011 Q3,2376730,7826647,30.36715467044828,0.9929783958925292,2393536.465477377,1.0119884377464823,7733929.27040604
2011,4,2011 Q4,2485521,7942321,31.294642963939637,1.023406134565882,2428675.103705853,1.0199065624728463,7787302.574799791
2012,1,2012 Q1,2428535,7695478,31.55794870701989,1.009838691246669,2404874.185402738,0.9913426664795677,7762682.1281969
2012,2,2012 Q2,2435774,7768814,31.353228433580725,0.9737767782949192,2501367.925681114,0.976762333301104,7953637.988623306
2012,3,2012 Q3,2553184,8103078,31.50881677308302,0.9929783958925292,2571238.216824541,1.0119884377464823,8007085.553313346
2012,4,2012 Q4,2619992,8198817,31.955732150138243,1.023406134565882,2560070.6420539217,1.0199065624728463,8038792.2792861555
2013,1,2013 Q1,2582725,7969966,32.405721680619465,1.009838691246669,2557561.9377502427,0.9913426664795677,8039567.214737919
2013,2,2013 Q2,2536985,7983827,31.776552773500725,0.9737767782949192,2605304.4769071764,0.976762333301104,8173766.255929984
2013,3,2013 Q3,2654140,8379416,31.67452242495181,0.9929783958925292,2672908.1025114865,1.0119884377464823,8280149.937937497
2013,4,2013 Q4,2759146,8494441,32.481784263378835,1.023406134565882,2696042.0763653135,1.0199065624728463,8328646.282463893
2014,1,2014 Q1,2802288,8328387,33.64742776722552,1.009838691246669,2774985.771777581,0.9913426664795677,8401118.282919839
2014,2,2014 Q2,2755520,8317537,33.12903807942183,0.9737767782949192,2829724.492737349,0.976762333301104,8515415.384507844
2014,3,2014 Q3,2882327,8735012,32.997401720799004,0.9929783958925292,2902708.6711279834,1.0119884377464823,8631533.399187163
2014,4,2014 Q4,2980071,8851891,33.66592516785396,1.023406134565882,2911914.341088169,1.0199065624728463,8679119.564186225
2015,1,2015 Q1,2987902,8658396,34.50872424869456,1.009838691246669,2958791.365293566,0.9913426664795677,8734009.230882281
2015,2,2015 Q2,2875907,8575613,33.535876677270764,0.9737767782949192,2953353.4420852656,0.976762333301104,8779631.142222207
2015,3,2015 Q3,2981465,8973469,33.22533348028505,0.9929783958925292,3002547.701272129,1.0119884377464823,8867165.537960408
2015,4,2015 Q4,3057486,9059122,33.75035682265897,1.023406134565882,2987558.7967791036,1.0199065624728463,8882305.824207487
2016,1,2016 Q1,3036953,8863158,34.264908737946456,1.009838691246669,3007364.469518208,0.9913426664795677,8940559.404625077
2016,2,2016 Q2,2926260,8520838,34.3423968393719,0.9737767782949192,3005062.4180254885,0.976762333301104,8723553.017449643
2016,3,2016 Q3,2996524,9125796,32.83575482073016,0.9929783958925292,3017713.187311193,1.0119884377464823,9017688.008690612
2016,4,2016 Q4,3087952,9219544,33.49354371539417,1.023406134565882,3017328.0144640487,1.0199065624728463,9039596.70349259
2017,1,2017 Q1,2921681,8935112,32.69887383616456,1.009838691246669,2893215.5455373945,0.9913426664795677,9013141.77440799
2017,2,2017 Q2,2953258,8904173,33.16712287598186,0.9737767782949192,3032787.457892709,0.976762333301104,9116007.749712368
2017,3,2017 Q3,3038037,9267866,32.78032936600508,0.9929783958925292,3059519.7363476264,1.0119884377464823,9158074.98812722
2017,4,2017 Q4,3113686,9326387,33.38576878699115,1.023406134565882,3042473.456855711,1.0199065624728463,9144354.339075353
2018,1,2018 Q1,3080840,9083737,33.91599734778759,1.009838691246669,3050823.8857402387,0.9913426664795677,9163064.707239877
2018,2,2018 Q2,3012433,9051779,33.28001048191742,0.9737767782949192,3093556.0049755583,0.976762333301104,9267125.370619336
2018,3,2018 Q3,3074218,9399861,32.70493042397116,0.9929783958925292,3095956.5814488526,1.0119884377464823,9288506.320222208
2018,4,2018 Q4,3086058,9451180,32.65262115418392,1.023406134565882,3015477.331791716,1.0199065624728463,9266711.626097245
2019,1,2019 Q1,3087610,9183689,33.62058536607675,1.009838691246669,3057527.9267506325,0.9913426664795677,9263889.581806153
2019,2,2019 Q2,2971397,9104404,32.63691945128973,0.9737767782949192,3051414.9302296047,0.976762333301104,9321002.345811598
2019,3,2019 Q3,3035988,9445430,32.142401140022216,0.9929783958925292,3057456.247344768,1.0119884377464823,9333535.490813795
2019,4,2019 Q4,3074381,9464652,32.48276851594755,1.023406134565882,3004067.394323486,1.0199065624728463,9279920.679255346
2020,1,2020 Q1,3005641,9152368,32.84003658943784,1.009838691246669,2976357.537152263,0.9913426664795677,9232295.05747157
2020,2,2020 Q2,2424876,8278299,29.291959616341472,0.9737767782949192,2490176.4491097764,0.976762333301104,8475243.892772092
2020,3,2020 Q3,2319477,8192171,28.313337209391747,0.9929783958925292,2335878.614876772,1.0119884377464823,8095123.120420727
2020,4,2020 Q4,2648776,8508452,31.13111527220228,1.023406134565882,2588196.3284533,1.0199065624728463,8342383.815406156
2021,1,2021 Q1,2845293,8697733,32.71304143275035,1.009838691246669,2817571.781179646,0.9913426664795677,8773689.758443648
2021,2,2021 Q2,2828029,8704347,32.489846739795645,0.9737767782949192,2904186.1164032603,0.976762333301104,8911427.78876664
2021,3,2021 Q3,2882778,9012217,31.98744548649905,0.9929783958925292,2903162.8602642883,1.0119884377464823,8905454.512967164
2021,4,2021 Q4,3068470,9289571,33.03134235154669,1.023406134565882,2998291.5837236135,1.0199065624728463,9108256.914708618
2022,1,2022 Q1,3047815,9005972,33.84215496117465,1.009838691246669,3018120.6428498025,0.9913426664795677,9084620.59035731
2022,2,2022 Q2,3051189,9096471,33.54255732800115,0.9737767782949192,3133355.6806957596,0.976762333301104,9312880.615755538
2022,3,2022 Q3,3044424,9369429,32.493164738214034,0.9929783958925292,3065951.9004575606,1.0119884377464823,9258434.830405816
2022,4,2022 Q4,3048514,9392167,32.45804722169016,1.023406134565882,2978791.9937505038,1.0199065624728463,9208850.443346426
2023,1,2023 Q1,2922516,9060334,32.25616185893368,1.009838691246669,2894042.410270582,0.9913426664795677,9139457.330304204
2023,2,2023 Q2,2789974,8977842,31.07622076663857,0.9737767782949192,2865106.3181905383,0.976762333301104,9191429.372238522
2023,3,2023 Q3,2717580,9128176,29.771336573703223,0.9929783958925292,2736796.7029708927,1.0119884377464823,9020039.814216474
2023,4,2023 Q4,2715226,9100256,29.83680898647247,1.023406134565882,2653126.5626541995,1.0199065624728463,8922636.969739355
