Year,Avg Temp Employment,Avg Sector Employment,Avg Share (%)
2010,2080403.0,7249695.25,28.66
2011,2348614.0,7651526.0,30.69
2012,2509371.25,7941546.75,31.59
2013,2633249.0,8206912.5,32.08
2014,2855051.5,8558206.75,33.36
2015,2975690.0,8816650.0,33.76
2016,3011922.25,8932334.0,33.73
2017,3006665.5,9108384.5,33.01
2018,3063387.25,9246639.25,33.14
2019,3042344.0,9299543.75,32.72
2020,2599692.5,8532822.5,30.39
2021,2906142.5,8925967.0,32.56
2022,3047985.5,9216009.75,33.08
2023,2786324.0,9066652.0,30.74
