year,quarter,period,temp_emp,EarnS_temp,EarnS_sector,private_earnS,EarnHirAS_temp,EarnHirAS_sector,private_earnHirAS,wage_ratio_sector,wage_ratio_private,wage_gap_sector,wage_gap_private,hire_ratio_sector,hire_ratio_private
2010,1,2010 Q1,1886939,2072,2778,3857,1626,1775,2089,0.7458603311735061,0.5372050816696915,-706,-1785,0.916056338028169,0.778362853039732
2010,2,2010 Q2,1741330,2286,2890,3811,1915,2140,2544,0.7910034602076125,0.5998425610076096,-604,-1525,0.8948598130841121,0.752751572327044
2010,3,2010 Q3,1912038,2309,2890,3858,1890,2033,2397,0.798961937716263,0.5984966303784344,-581,-1549,0.9296606000983768,0.7884856070087609
2010,4,2010 Q4,2292957,2430,3177,4312,1972,2131,2561,0.7648725212464589,0.563543599257885,-747,-1882,0.9253871421867668,0.7700117141741507
2011,1,2011 Q1,2170939,2202,2869,4119,1762,1865,2213,0.767514813523876,0.5345957756737072,-667,-1917,0.9447721179624665,0.7962042476276547
2011,2,2011 Q2,2265081,2349,2930,3922,2007,2154,2604,0.8017064846416382,0.5989291177970423,-581,-1573,0.9317548746518106,0.7707373271889401
2011,3,2011 Q3,2253211,2444,3042,4066,2018,2156,2547,0.8034188034188035,0.6010821446138711,-598,-1622,0.9359925788497218,0.7923046721633294
2011,4,2011 Q4,2476514,2428,3096,4229,1946,2086,2582,0.7842377260981912,0.5741310002364626,-668,-1801,0.9328859060402684,0.7536793183578622
2012,1,2012 Q1,2431245,2359,3075,4343,1860,1979,2374,0.7671544715447155,0.5431729219433571,-716,-1984,0.9398686205154119,0.7834877843302444
2012,2,2012 Q2,2307098,2459,3028,4012,2065,2209,2655,0.8120871862615587,0.6129112662013958,-569,-1553,0.9348121321865097,0.7777777777777778
2012,3,2012 Q3,2533515,2413,2995,4026,1969,2081,2497,0.8056761268781302,0.5993541977148534,-582,-1613,0.9461797212878423,0.788546255506608
2012,4,2012 Q4,2611020,2503,3247,4481,1970,2127,2605,0.7708654142285186,0.5585806739567061,-744,-1978,0.926187118006582,0.7562380038387716
2013,1,2013 Q1,2582931,2375,3056,4380,1856,1970,2371,0.7771596858638743,0.5422374429223744,-681,-2005,0.9421319796954315,0.7827920708561789
2013,2,2013 Q2,2431040,2480,3066,4101,2052,2206,2707,0.8088714938030006,0.6047305535235309,-586,-1621,0.9301903898458749,0.7580347247875877
2013,3,2013 Q3,2507645,2452,3045,4110,1973,2109,2514,0.8052545155993431,0.5965936739659368,-593,-1658,0.9355144618302513,0.7848050914876691
2013,4,2013 Q4,2749552,2530,3254,4474,1982,2136,2698,0.7775046097111248,0.5654894948591864,-724,-1944,0.9279026217228464,0.7346182357301705
2014,1,2014 Q1,2619874,2354,3118,4548,1823,1979,2393,0.7549711353431687,0.5175901495162709,-764,-2194,0.9211723092470945,0.7618052653572921
2014,2,2014 Q2,2718461,2523,3121,4201,2095,2260,2746,0.8083947452739506,0.600571292549393,-598,-1678,0.9269911504424779,0.7629278951201748
2014,3,2014 Q3,2847024,2505,3105,4233,2030,2177,2614,0.8067632850241546,0.5917788802267895,-600,-1728,0.932475884244373,0.7765876052027544
2014,4,2014 Q4,2980312,2640,3374,4647,2107,2243,2731,0.7824540604623592,0.5681084570690769,-734,-2007,0.9393669193045029,0.7715122665690224
2015,1,2015 Q1,2866408,2407,3201,4641,1864,2033,2443,0.7519525148391127,0.5186382245205775,-794,-2234,0.9168716182980816,0.762996316004912
