Year,Avg Temp Emp,Temp EarnS,Sector EarnS,Private EarnS,Temp Hire Earn,Sector Hire Earn,Private Hire Earn,Ratio vs Sector,Ratio vs Private
2010,1958316.0,2274.25,2933.75,3959.5,1850.75,2019.75,2397.75,0.78,0.57
2011,2291436.25,2355.75,2984.25,4084.0,1933.25,2065.25,2486.5,0.79,0.58
2012,2470719.5,2433.5,3086.25,4215.5,1966.0,2099.0,2532.75,0.79,0.58
2013,2567792.0,2459.25,3105.25,4266.25,1965.75,2105.25,2572.5,0.79,0.58
2014,2791417.75,2505.5,3179.5,4407.25,2013.75,2164.75,2621.0,0.79,0.57
2015,2902081.5,2594.25,3311.25,4549.5,2074.75,2253.75,2709.75,0.78,0.57
2016,2887141.5,2659.5,3371.0,4602.0,2131.5,2298.25,2746.0,0.79,0.58
2017,3024136.5,2757.0,3499.25,4752.75,2214.5,2394.0,2838.5,0.79,0.58
2018,3078164.75,2877.75,3640.25,4920.75,2315.75,2517.25,2976.25,0.79,0.59
2019,2943018.0,3021.5,3797.25,5086.75,2434.0,2646.5,3149.75,0.8,0.59
2020,2582614.75,3474.25,4128.75,5466.5,2740.75,2886.5,3293.0,0.84,0.64
2021,2866141.0,3814.5,4409.0,5863.5,3174.75,3257.75,3586.5,0.86,0.65
2022,3047464.0,4260.5,4782.75,6070.5,3666.5,3704.75,3955.5,0.89,0.7
2023,2735349.0,4269.0,4925.75,6250.0,3481.25,3600.75,3899.75,0.87,0.68
